created_at,entry_id,field2
2025-01-22 21:45:06 UTC,2215,  16.33
2025-01-22 22:00:05 UTC,2216,  16.37
2025-01-22 22:15:05 UTC,2217,  16.09
2025-01-22 22:30:06 UTC,2218,  16.14
2025-01-22 22:45:05 UTC,2219,  15.99
2025-01-22 23:00:06 UTC,2220,  16.17
2025-01-22 23:15:07 UTC,2221,  16.44
2025-01-22 23:30:06 UTC,2222,  16.31
2025-01-22 23:45:07 UTC,2223,  16.25
2025-01-23 00:00:07 UTC,2224,  16.19
2025-01-23 00:15:07 UTC,2225,  16.20
2025-01-23 00:30:06 UTC,2226,  16.51
2025-01-23 00:45:05 UTC,2227,  16.37
2025-01-23 01:00:06 UTC,2228,  16.20
2025-01-23 01:15:06 UTC,2229,  16.18
2025-01-23 01:30:06 UTC,2230,  16.29
2025-01-23 01:45:06 UTC,2231,  16.57
2025-01-23 02:00:06 UTC,2232,  16.35
2025-01-23 02:15:06 UTC,2233,  16.28
2025-01-23 02:30:06 UTC,2234,  16.22
2025-01-23 02:45:06 UTC,2235,  16.34
2025-01-23 03:00:06 UTC,2236,  16.34
2025-01-23 03:15:06 UTC,2237,  16.34
2025-01-23 03:30:06 UTC,2238,  16.29
2025-01-23 03:45:06 UTC,2239,  16.37
2025-01-23 04:00:04 UTC,2240,  16.41
2025-01-23 04:15:06 UTC,2241,  16.34
2025-01-23 04:30:06 UTC,2242,  16.22
2025-01-23 04:45:06 UTC,2243,  16.13
2025-01-23 05:00:08 UTC,2244,  16.29
2025-01-23 05:15:06 UTC,2245,  16.05
2025-01-23 05:30:06 UTC,2246,  15.99
2025-01-23 05:45:06 UTC,2247,  16.15
2025-01-23 06:00:07 UTC,2248,  16.57
2025-01-23 06:15:07 UTC,2249,  16.41
2025-01-23 06:30:07 UTC,2250,  16.53
2025-01-23 06:45:06 UTC,2251,  16.47
2025-01-23 07:00:07 UTC,2252,  16.47
2025-01-23 07:15:06 UTC,2253,  16.53
2025-01-23 07:30:07 UTC,2254,  16.94
2025-01-23 07:45:06 UTC,2255,  16.81
2025-01-23 08:00:07 UTC,2256,  16.92
2025-01-23 08:15:04 UTC,2257,  16.66
2025-01-23 08:30:06 UTC,2258,  17.12
2025-01-23 08:45:07 UTC,2259,  17.13
2025-01-23 09:00:07 UTC,2260,  16.85
2025-01-23 09:15:05 UTC,2261,  16.97
2025-01-23 09:30:07 UTC,2262,  17.00
2025-01-23 09:45:07 UTC,2263,  16.84
2025-01-23 10:00:07 UTC,2264,  16.72
2025-01-23 10:15:06 UTC,2265,  16.82
2025-01-23 10:30:07 UTC,2266,  16.93
2025-01-23 10:45:05 UTC,2267,  16.87
2025-01-23 11:00:05 UTC,2268,  16.97
2025-01-23 11:15:05 UTC,2269,  17.00
2025-01-23 11:30:05 UTC,2270,  17.18
2025-01-23 11:45:04 UTC,2271,  17.10
2025-01-23 12:00:06 UTC,2272,  17.09
2025-01-23 12:15:04 UTC,2273,  17.09
2025-01-23 12:30:05 UTC,2274,  17.47
2025-01-23 12:45:05 UTC,2275,  17.36
2025-01-23 13:00:05 UTC,2276,  17.20
2025-01-23 13:15:05 UTC,2277,  17.48
2025-01-23 13:30:05 UTC,2278,  17.52
2025-01-23 13:45:06 UTC,2279,  17.37
2025-01-23 14:00:06 UTC,2280,  17.62
2025-01-23 14:15:07 UTC,2281,  17.55
2025-01-23 14:30:07 UTC,2282,  17.42
2025-01-23 14:45:06 UTC,2283,  17.80
2025-01-23 15:00:06 UTC,2284,  17.77
2025-01-23 15:15:07 UTC,2285,  17.61
2025-01-23 15:30:06 UTC,2286,  17.84
2025-01-23 15:45:05 UTC,2287,  17.76
2025-01-23 16:00:05 UTC,2288,  18.10
2025-01-23 16:15:06 UTC,2289,  18.24
2025-01-23 16:30:06 UTC,2290,  18.12
2025-01-23 16:45:06 UTC,2291,  18.51
2025-01-23 17:00:07 UTC,2292,  18.35
2025-01-23 17:15:05 UTC,2293,  18.26
2025-01-23 17:30:06 UTC,2294,  18.54
2025-01-23 17:45:06 UTC,2295,  18.27
2025-01-23 18:45:06 UTC,2296,  19.42
2025-01-23 19:00:05 UTC,2297,  19.20
2025-01-23 19:15:07 UTC,2298,  18.81
2025-01-23 19:30:05 UTC,2299,  19.28
2025-01-23 19:45:06 UTC,2300,  19.35
2025-01-23 20:00:06 UTC,2301,  18.98
2025-01-23 20:15:06 UTC,2302,  19.44
2025-01-23 20:30:07 UTC,2303,  19.10
2025-01-23 20:45:05 UTC,2304,  19.45
2025-01-23 21:00:06 UTC,2305,  19.54
2025-01-23 21:15:06 UTC,2306,  19.43
2025-01-23 21:30:06 UTC,2307,  19.33
2025-01-23 21:45:06 UTC,2308,  19.54
2025-01-23 22:00:07 UTC,2309,  19.60
2025-01-23 22:15:07 UTC,2310,  19.36
2025-01-23 22:30:06 UTC,2311,  19.72
2025-01-23 22:45:06 UTC,2312,  19.46
2025-01-23 23:00:07 UTC,2313,  19.64
2025-01-23 23:45:06 UTC,2314,  19.53
