pointName,pointType,pointID,timeStamps,distFromNodeBefore,distFromNodeAfter,Latitude,Longitude,Elevation,triggerValue
Pipeline,Bend,46,1970-01-01T00:00:00.000000000Z,196.4728634,401.089994,29.83784417,-94.88570008,46,0
Pipeline,Bend,47,1970-01-01T00:00:00.000000000Z,401.089994,141.4897686,29.8373399,-94.88682509,47,0
Pipeline,Bend,48,1970-01-01T00:00:00.000000000Z,141.4897686,236.9012481,29.83698551,-94.88700921,48,0
Pipeline,Bend,49,1970-01-01T00:00:00.000000000Z,236.9012481,983.4167822,29.83666578,-94.88766017,66,0
Pipeline,Bend,50,1970-01-01T00:00:00.000000000Z,983.4167822,343.1581631,29.83538444,-94.89039138,50,0
Pipeline,Bend,51,1970-01-01T00:00:00.000000000Z,343.1581631,141.3738722,29.83490745,-94.89132517,51,0
Pipeline,Bend,52,1970-01-01T00:00:00.000000000Z,141.3738722,2307.402776,29.83483537,-94.8917633,52,0
Pipeline,Bend,53,1970-01-01T00:00:00.000000000Z,2307.402776,33.06969372,29.84094035,-94.89374438,53,0
Pipeline,Bend,54,1970-01-01T00:00:00.000000000Z,33.06969372,71.34514733,29.84098429,-94.89383569,54,0
Pipeline,Bend,55,1970-01-01T00:00:00.000000000Z,71.34514733,729.8020229,29.8409301,-94.89405196,12,0
Pipeline,Bend,56,1970-01-01T00:00:00.000000000Z,729.8020229,1135.906645,29.84285801,-94.89469067,56,0
Pipeline,Bend,57,1970-01-01T00:00:00.000000000Z,1135.906645,308.5923997,29.84596171,-94.89509206,57,0
Pipeline,Bend,58,1970-01-01T00:00:00.000000000Z,308.5923997,330.6002914,29.84626905,-94.89599932,58,0
Pipeline,Bend,59,1970-01-01T00:00:00.000000000Z,330.6002914,1115.486531,29.84590141,-94.896953,59,0
Pipeline,Bend,60,1970-01-01T00:00:00.000000000Z,1115.486531,306.7484401,29.84465496,-94.90016775,60,0
Pipeline,Bend,61,1970-01-01T00:00:00.000000000Z,306.7484401,268.3446214,29.84445353,-94.90110727,61,0
Pipeline,Bend,62,1970-01-01T00:00:00.000000000Z,268.3446214,1.366612006,29.84516092,-94.90134798,62,0
Pipeline,Bend,63,1970-01-01T00:00:00.000000000Z,1.366612006,150.5284839,29.84516389,-94.90135062,63,0
Pipeline,Bend,64,1970-01-01T00:00:00.000000000Z,150.5284839,28.76687392,29.84556966,-94.90144424,64,0
Pipeline,Bend,65,1970-01-01T00:00:00.000000000Z,28.76687392,121.6853871,29.84558597,-94.90135546,65,0
Pipeline,Bend,66,1970-01-01T00:00:00.000000000Z,121.6853871,722.6124444,29.84591176,-94.90144291,66,0
Pipeline,Bend,67,1970-01-01T00:00:00.000000000Z,722.6124444,353.6442197,29.84789333,-94.90161035,67,0
Pipeline,Bend,68,1970-01-01T00:00:00.000000000Z,353.6442197,118.01777,29.84738159,-94.90255885,68,0
Pipeline,Bend,69,1970-01-01T00:00:00.000000000Z,118.01777,0,29.84721514,-94.9028784,69,0
Pipeline,Bend,70,1970-01-01T00:00:00.000000000Z,0,199.5369508,29.84721514,-94.9028784,70,0
Pipeline,Bend,71,1970-01-01T00:00:00.000000000Z,199.5369508,1.22493759,29.84768615,-94.90320118,71,0
Pipeline,Bend,72,1970-01-01T00:00:00.000000000Z,1.22493759,9.993021727,29.84768326,-94.9031992,72,0
Pipeline,Bend,73,1970-01-01T00:00:00.000000000Z,9.993021727,180.8731114,29.84770687,-94.90321532,49,0
Pipeline,Bend,74,1970-01-01T00:00:00.000000000Z,180.8731114,99.80734734,29.84795836,-94.90272312,74,0
Pipeline,Bend,75,1970-01-01T00:00:00.000000000Z,99.80734734,872.4393123,29.84772312,-94.90256098,75,0
Pipeline,Bend,76,1970-01-01T00:00:00.000000000Z,872.4393123,9.877228077,29.84894274,-94.9001913,76,0
Pipeline,Bend,77,1970-01-01T00:00:00.000000000Z,9.877228077,13.24864136,29.84896905,-94.90018355,77,0
Pipeline,Bend,78,1970-01-01T00:00:00.000000000Z,13.24864136,11.25774959,29.84897789,-94.90022409,78,0
Pipeline,Bend,79,1970-01-01T00:00:00.000000000Z,11.25774959,0,29.8489477,-94.90023197,60,0
Pipeline,Bend,80,1970-01-01T00:00:00.000000000Z,0,7.897850746,29.8489477,-94.90023197,80,0
Pipeline,Bend,81,1970-01-01T00:00:00.000000000Z,7.897850746,46.61598528,29.8489267,-94.9002383,81,0
Pipeline,Bend,82,1970-01-01T00:00:00.000000000Z,46.61598528,1760.498597,29.84886116,-94.90036466,82,0
Pipeline,Bend,83,1970-01-01T00:00:00.000000000Z,1760.498597,125.9075195,29.8463861,-94.9051369,83,0
Pipeline,Bend,84,1970-01-01T00:00:00.000000000Z,125.9075195,1057.366592,29.8461952,-94.9054682,84,0
Pipeline,Bend,85,1970-01-01T00:00:00.000000000Z,1057.366592,51.62765093,29.84468637,-94.90831901,85,0
Pipeline,Bend,86,1970-01-01T00:00:00.000000000Z,51.62765093,5.709139845,29.8446127,-94.9084582,86,0
Pipeline,Bend,87,1970-01-01T00:00:00.000000000Z,5.709139845,207.6433288,29.8446164,-94.9084757,87,0
Pipeline,Bend,88,1970-01-01T00:00:00.000000000Z,207.6433288,80.79480339,29.8442717,-94.9089978,7,0
Pipeline,Bend,89,1970-01-01T00:00:00.000000000Z,80.79480339,2.536829759,29.8444491,-94.9091512,89,0
Pipeline,Bend,90,1970-01-01T00:00:00.000000000Z,2.536829759,0.401485429,29.8444534,-94.9091449,90,0
FPU3,FPU,91,1970-01-01T00:00:00.000000000Z,0.401485429,0,29.84445244,-94.90914428,91,0
